,DraftYear,Player,College.Univ,Pos,Height.inches,Weight,Wonderlic,Forty.Yard.Dash,Bench.225.Reps,Vert.Leap.inches,Broad.Jump.inches,Shuttle,X3Cone,Forty.Timed.Outside.Combine,Bench.Pressed.Weight,Benched.to.Weight,Player.Height,Player.Vertical,Player.Broad.Jump
256,2010,Antonio Brown,Central Michigan,WR,70,186,NA,4.56,13,33.5,105,4.18,6.98,FALSE,2925,15.72580645,5.833331,2.79166555,8.7499965
257,2002,Antonio Bryant,Pittsburgh,WR,73,188,NA,4.57,NA,37,121,NA,NA,FALSE,NA,NA,6.0833309,3.0833321,10.0833293
258,1999,Antonio Cochran,Georgia,DE,76,297,NA,5.12,19,33,112,4.55,7.87,FALSE,4275,14.39393939,6.3333308,2.7499989,9.3333296
259,2010,Antonio Coleman,Auburn,OLB,74,255,NA,4.87,18,NA,113,NA,NA,TRUE,4050,15.88235294,6.1666642,NA,9.4166629
260,2006,Antonio Cromartie,Florida State,CB,74,208,NA,4.47,18,38,132,NA,NA,FALSE,4050,19.47115385,6.1666642,3.1666654,10.9999956
261,1999,Antonio Dingle,Virginia,DT,74,320,NA,5.26,22,31,102,4.85,8.12,FALSE,4950,15.46875,6.1666642,2.5833323,8.4999966
262,2012,Antonio Fenelus,Wisconsin,CB,68,190,NA,4.68,20,32,109,4.2,6.8,FALSE,4500,23.68421053,5.6666644,2.6666656,9.0833297
263,2004,Antonio Hall,Kentucky,OG,76,317,NA,5.54,27,26.5,101,4.56,8.15,FALSE,6075,19.16403785,6.3333308,2.20833245,8.4166633
264,2007,Antonio Johnson,Mississippi State,DT,75,310,NA,5.15,28,29,108,4.49,7.51,FALSE,6300,20.32258065,6.2499975,2.4166657,8.9999964
265,2006,Antonio Malone,Toledo,CB,73,200,NA,4.59,10,34,111,4.13,7.06,FALSE,2250,11.25,6.0833309,2.8333322,9.2499963
266,2005,Antonio Perkins,Oklahoma,CB,71,190,NA,4.49,10,40,126,4.07,7.17,FALSE,2250,11.84210526,5.9166643,3.333332,10.4999958
267,2007,Antonio Pittman,Ohio State,RB,71,207,NA,4.4,16,35.5,123,4.16,6.84,FALSE,3600,17.39130435,5.9166643,2.95833215,10.2499959
268,2004,Antonio Smith,Oklahoma State,DE,76,274,NA,5.03,24,33,108,4.75,NA,FALSE,5400,19.7080292,6.3333308,2.7499989,8.9999964
