CombineYear,DraftYear,Player,Position,DBPediaCollege_Name,DBPediaURI_College,Conference,Division,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic
2003,2003,Torrin Tucker,OG,University of Southern Mississippi,http://live.dbpedia.org/resource/University_of_Southern_Mississippi,Conference USA,Division I,NA,6.4999974,328,5.35,NA,30,103,4.97,8.39,NA
2003,2003,Casey Moore,FB,Stanford University,http://live.dbpedia.org/resource/Stanford_University,Pacific-12 Conference,Division I,NA,6.1666642,240,4.65,22,32.5,114,4.26,7.29,NA
2003,2003,Kerry Carter,RB,Stanford University,http://live.dbpedia.org/resource/Stanford_University,Pacific-12 Conference,Division I,NA,6.1666642,238,4.61,20,36,118,4.39,7.29,NA
2003,2003,Colin Branch,FS,Stanford University,http://live.dbpedia.org/resource/Stanford_University,Pacific-12 Conference,Division I,NA,6.0833309,203,4.4,22,36,119,NA,NA,NA
2003,2003,Greg Schindler,OG,Stanford University,http://live.dbpedia.org/resource/Stanford_University,Pacific-12 Conference,Division I,NA,6.4166641,307,5.09,18,30.5,94,5.13,8.56,NA
2003,2003,Matt Leonard,DT,Stanford University,http://live.dbpedia.org/resource/Stanford_University,Pacific-12 Conference,Division I,NA,6.2499975,305,4.97,30,26,95,4.56,7.53,NA
2003,2003,Kwame Harris,OT,Stanford University,http://live.dbpedia.org/resource/Stanford_University,Pacific-12 Conference,Division I,NA,6.5833307,310,5.2,NA,35.5,107,4.65,7.98,NA
2003,2003,Teyo Johnson,WR,Stanford University,http://live.dbpedia.org/resource/Stanford_University,Pacific-12 Conference,Division I,NA,6.4999974,247,4.61,NA,33.5,NA,NA,NA,NA
2003,2003,Chris Davis,FB,Syracuse University,http://live.dbpedia.org/resource/Syracuse_University,Atlantic Coast Conference,Division I,NA,6.0833309,235,4.56,21,38.5,116,4.37,7.25,NA
2003,2003,Clifton Smith,ILB,Syracuse University,http://live.dbpedia.org/resource/Syracuse_University,Atlantic Coast Conference,Division I,NA,6.1666642,250,4.88,NA,NA,NA,NA,NA,NA
2003,2003,Dan Klecko,DT,Temple University,http://live.dbpedia.org/resource/Temple_University,Big East Conference,Division I,NA,6.0833309,283,4.94,26,33.5,111,4.43,7.52,NA
2003,2003,Bethel Johnson,WR,Texas A&M University,http://live.dbpedia.org/resource/Texas_A&M_University,Southeastern Conference,Division I,NA,5.9166643,201,4.38,NA,38.5,127,NA,NA,NA
2003,2003,Ty Warren,DT,Texas A&M University,http://live.dbpedia.org/resource/Texas_A&M_University,Southeastern Conference,Division I,NA,6.4166641,307,5.1,27,NA,NA,NA,NA,NA
2003,2003,Taylor Whitley,OG,Texas A&M University,http://live.dbpedia.org/resource/Texas_A&M_University,Southeastern Conference,Division I,NA,6.3333308,321,5.18,28,30,106,4.58,7.95,NA
2003,2003,Sammy Davis,CB,Texas A&M University,http://live.dbpedia.org/resource/Texas_A&M_University,Southeastern Conference,Division I,NA,6.0833309,186,4.42,19,40,131,NA,7.01,NA
2003,2003,Terrence Kiel,SS,Texas A&M University,http://live.dbpedia.org/resource/Texas_A&M_University,Southeastern Conference,Division I,NA,5.9166643,204,4.46,16,38,127,3.96,6.88,NA
2003,2003,Adrian Madise,WR,Texas Christian University,http://live.dbpedia.org/resource/Texas_Christian_University,Big 12 Conference,Division I,NA,6.0833309,215,4.49,NA,32,119,4.26,7.32,NA
2003,2003,LaMarcus McDonald,ILB,Texas Christian University,http://live.dbpedia.org/resource/Texas_Christian_University,Big 12 Conference,Division I,NA,6.0833309,227,4.99,NA,31,110,4.44,7.6,NA
2003,2003,LaTarence Dunbar,WR,Texas Christian University,http://live.dbpedia.org/resource/Texas_Christian_University,Big 12 Conference,Division I,NA,5.9166643,196,4.52,NA,34,122,4.35,7.41,NA
2003,2003,Jason Goss,CB,Texas Christian University,http://live.dbpedia.org/resource/Texas_Christian_University,Big 12 Conference,Division I,NA,5.833331,183,4.58,15,32.5,117,4.31,7.46,NA
2003,2003,Aaron Hunt,DE,Texas Tech University,http://live.dbpedia.org/resource/Texas_Tech_University,Big 12 Conference,Division I,NA,6.2499975,262,4.86,24,30,106,4.52,7.68,NA
2003,2003,Lawrence Flugence,ILB,Texas Tech University,http://live.dbpedia.org/resource/Texas_Tech_University,Big 12 Conference,Division I,NA,6.0833309,239,4.87,23,34,106,4.36,7.4,NA
2003,2003,Kliff Kingsbury,QB,Texas Tech University,http://live.dbpedia.org/resource/Texas_Tech_University,Big 12 Conference,Division I,NA,6.3333308,213,4.77,NA,30,101,4.1,6.92,31
2003,2003,Clifton Washburn,DE,"The Citadel, The Military College of South Carolina","http://live.dbpedia.org/resource/The_Citadel,_The_Military_College_of_South_Carolina",Southern Athletic Conference,Division I-AA,NA,6.4166641,275,5.03,22,27,109,4.82,8.59,NA
2003,2003,Drayton Florence,CB,Tuskegee University,http://live.dbpedia.org/resource/Tuskegee_University,Southern Intercollegiate Athletic Conference,Division II,NA,6.0833309,198,4.39,18,35,124,NA,NA,NA
2003,2003,Bobby Wade,WR,University of Arizona,http://live.dbpedia.org/resource/University_of_Arizona,Pacific-12 Conference,Division I,NA,5.833331,193,4.66,NA,34.5,115,4.11,7.01,NA
2003,2003,Lance Briggs,ILB,University of Arizona,http://live.dbpedia.org/resource/University_of_Arizona,Pacific-12 Conference,Division I,NA,6.0833309,242,4.75,25,33,113,NA,NA,NA
2003,2003,Makoa Freitas,OG,University of Arizona,http://live.dbpedia.org/resource/University_of_Arizona,Pacific-12 Conference,Division I,NA,6.3333308,307,5.05,36,24.5,95,4.92,8.24,NA
2003,2003,Raymond House,DE,"University of Arkansas, Little Rock",http://live.dbpedia.org/resource/University_of_Arkansas,Southeastern Conference,Division I,NA,6.2499975,277,5.08,20,32,120,4.36,7.55,NA
2003,2003,Ken Hamlin,FS,"University of Arkansas, Little Rock",http://live.dbpedia.org/resource/University_of_Arkansas,Southeastern Conference,Division I,NA,6.2499975,209,4.61,16,33,117,3.92,6.8,NA
2003,2003,Scott Tercero,OG,"University of California, Berkeley",http://live.dbpedia.org/resource/University_of_California,Pacific-12 Conference,Division I,NA,6.3333308,303,5.23,25,28.5,103,4.51,7.81,NA
2003,2003,Nnamdi Asomugha,CB,"University of California, Berkeley",http://live.dbpedia.org/resource/University_of_California,Pacific-12 Conference,Division I,NA,6.2499975,213,4.45,16,37.5,124,NA,NA,NA
2003,2003,Tully Banta-Cain,DE,"University of California, Berkeley",http://live.dbpedia.org/resource/University_of_California,Pacific-12 Conference,Division I,NA,6.1666642,264,4.79,25,NA,NA,NA,NA,NA
2003,2003,Kyle Boller,QB,"University of California, Berkeley",http://live.dbpedia.org/resource/University_of_California,Pacific-12 Conference,Division I,NA,6.2499975,234,4.61,NA,35.5,117,4.02,7.2,27
2003,2003,Ricky Manning,CB,"University of California, Los Angeles","http://live.dbpedia.org/resource/University_of_California,_Los_Angeles",Pacific-12 Conference,Division I,NA,5.7499977,185,4.52,12,36.5,117,4.17,7.11,NA
2003,2003,Mike Seidman,TE,"University of California, Los Angeles","http://live.dbpedia.org/resource/University_of_California,_Los_Angeles",Pacific-12 Conference,Division I,NA,6.4166641,261,4.8,20,NA,NA,NA,NA,NA
2003,2003,Cory Pyles,QB,"University of California, Los Angeles","http://live.dbpedia.org/resource/University_of_California,_Los_Angeles",Pacific-12 Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
2003,2003,Asante Samuel,CB,University of Central Florida,http://live.dbpedia.org/resource/University_of_Central_Florida,Big East Conference,Division I,NA,5.9166643,185,4.49,9,35.5,120,4.14,6.95,NA
2003,2003,Doug Gabriel,WR,University of Central Florida,http://live.dbpedia.org/resource/University_of_Central_Florida,Big East Conference,Division I,NA,6.1666642,213,4.52,NA,35.5,116,4.16,7.05,NA
2003,2003,Antwan Peek,OLB,University of Cincinnati,http://live.dbpedia.org/resource/University_of_Cincinnati,Big East Conference,Division I,NA,6.2499975,246,4.65,21,37,125,4.35,7.07,NA
2003,2003,Tyler Brayton,DE,University of Colorado at Boulder,http://live.dbpedia.org/resource/University_of_Colorado,Pacific-12 Conference,Division I,NA,6.4999974,277,4.73,25,34,116,4.31,7.14,NA
2003,2003,Justin Bates,OG,University of Colorado at Boulder,http://live.dbpedia.org/resource/University_of_Colorado,Pacific-12 Conference,Division I,NA,6.3333308,300,5.38,18,NA,NA,NA,NA,NA
2003,2003,Donald Strickland,CB,University of Colorado at Boulder,http://live.dbpedia.org/resource/University_of_Colorado,Pacific-12 Conference,Division I,NA,5.833331,187,4.53,16,35.5,121,4.04,6.98,NA
2003,2003,Brandon Drumm,FB,University of Colorado at Boulder,http://live.dbpedia.org/resource/University_of_Colorado,Pacific-12 Conference,Division I,NA,6.1666642,233,4.71,21,32.5,113,4.29,7.18,NA
2003,2003,Todd Johnson,FS,University of Florida,http://live.dbpedia.org/resource/University_of_Florida,Southeastern Conference,Division I,NA,6.0833309,206,4.56,19,33.5,117,4.19,7.01,NA
2003,2003,Earnest Graham,RB,University of Florida,http://live.dbpedia.org/resource/University_of_Florida,Southeastern Conference,Division I,NA,5.7499977,225,4.5,22,NA,NA,NA,NA,NA
2003,2003,Mike Nattiel,OLB,University of Florida,http://live.dbpedia.org/resource/University_of_Florida,Southeastern Conference,Division I,NA,6.0833309,228,4.65,NA,30,106,4.39,7.49,NA
2003,2003,Byron Hardmon,ILB,University of Florida,http://live.dbpedia.org/resource/University_of_Florida,Southeastern Conference,Division I,NA,6.0833309,232,4.76,17,32.5,115,4.41,7.55,NA
2003,2003,Ian Scott,DT,University of Florida,http://live.dbpedia.org/resource/University_of_Florida,Southeastern Conference,Division I,NA,6.2499975,312,5.16,28,28.5,99,5,8.12,NA
2003,2003,Aaron Walker,TE,University of Florida,http://live.dbpedia.org/resource/University_of_Florida,Southeastern Conference,Division I,NA,6.4999974,252,4.72,24,33.5,115,4.3,7.57,NA
2003,2003,Rex Grossman,QB,University of Florida,http://live.dbpedia.org/resource/University_of_Florida,Southeastern Conference,Division I,NA,5.9166643,217,5.06,NA,NA,NA,NA,NA,29
2003,2003,Clint Mitchell,DE,University of Florida,http://live.dbpedia.org/resource/University_of_Florida,Southeastern Conference,Division I,NA,6.5833307,257,4.93,16,34.5,115,4.39,7.36,NA
2003,2003,Tron LaFavor,DT,University of Florida,http://live.dbpedia.org/resource/University_of_Florida,Southeastern Conference,Division I,NA,6.1666642,290,5.08,26,28,106,NA,NA,NA
2003,2003,Kareem Marshall,OT,University of Georgia,http://live.dbpedia.org/resource/University_of_Georgia,Southeastern Conference,Division I,NA,6.4166641,359,5.22,NA,27.5,92,NA,NA,NA
2003,2003,Johnathan Sullivan,DT,University of Georgia,http://live.dbpedia.org/resource/University_of_Georgia,Southeastern Conference,Division I,NA,6.2499975,313,5.1,NA,NA,NA,NA,NA,NA
2003,2003,Tony Gilbert,ILB,University of Georgia,http://live.dbpedia.org/resource/University_of_Georgia,Southeastern Conference,Division I,NA,6.0833309,251,4.86,19,27.5,109,NA,NA,NA
2003,2003,Musa Smith,RB,University of Georgia,http://live.dbpedia.org/resource/University_of_Georgia,Southeastern Conference,Division I,NA,6.0833309,232,4.45,NA,35.5,123,NA,NA,NA
2003,2003,George Foster,OT,University of Georgia,http://live.dbpedia.org/resource/University_of_Georgia,Southeastern Conference,Division I,NA,6.4999974,338,5.23,NA,27,100,NA,NA,NA
2003,2003,Boss Bailey,OLB,University of Georgia,http://live.dbpedia.org/resource/University_of_Georgia,Southeastern Conference,Division I,NA,6.2499975,233,4.58,NA,42,135,NA,NA,NA
2003,2003,Jon Stinchcomb,OT,University of Georgia,http://live.dbpedia.org/resource/University_of_Georgia,Southeastern Conference,Division I,NA,6.4166641,302,4.99,32,35,115,4.62,7.83,NA
2003,2003,Chris Clemons,OLB,University of Georgia,http://live.dbpedia.org/resource/University_of_Georgia,Southeastern Conference,Division I,NA,6.2499975,236,4.68,18,35,116,NA,7.48,NA
2003,2003,Chris Brown,FS,University of Hawaii,http://live.dbpedia.org/resource/University_of_Hawaii,Mountain West Conference,Division I,NA,6.0833309,195,4.59,15,35.5,126,4.13,7.05,NA
2003,2003,Wayne Hunter,OT,University of Hawaii,http://live.dbpedia.org/resource/University_of_Hawaii,Mountain West Conference,Division I,NA,6.4999974,303,5.08,37,31,104,4.57,7.72,NA
2003,2003,Pisa Tinoisamoa,OLB,University of Hawaii,http://live.dbpedia.org/resource/University_of_Hawaii,Mountain West Conference,Division I,NA,6.0833309,231,4.65,19,34.5,111,4.07,6.97,NA
2003,2003,Vince Manuwai,OG,University of Hawaii,http://live.dbpedia.org/resource/University_of_Hawaii,Mountain West Conference,Division I,NA,6.1666642,304,5.06,27,29.5,107,4.4,7.59,NA
2003,2003,Hanik Milligan,FS,University of Houston,http://live.dbpedia.org/resource/University_of_Houston,Big East Conference,Division I,NA,6.2499975,201,4.52,9,36.5,130,4.18,7.11,NA
2003,2003,David Diehl,OG,University of Illinois at Urbana-Champaign,http://live.dbpedia.org/resource/University_of_Illinois_at_Urbana-Champaign,Big Ten Conference,Division I,NA,6.4999974,310,5.26,22,28,96,4.97,8.1,NA
2003,2003,Tony Pashos,OT,University of Illinois at Urbana-Champaign,http://live.dbpedia.org/resource/University_of_Illinois_at_Urbana-Champaign,Big Ten Conference,Division I,NA,6.4999974,337,5.3,38,NA,NA,NA,NA,NA
2003,2003,Eugene Wilson,CB,University of Illinois at Urbana-Champaign,http://live.dbpedia.org/resource/University_of_Illinois_at_Urbana-Champaign,Big Ten Conference,Division I,NA,5.9166643,192,4.48,15,38,122,4.05,7.18,NA
2003,2003,Walter Young,WR,University of Illinois at Urbana-Champaign,http://live.dbpedia.org/resource/University_of_Illinois_at_Urbana-Champaign,Big Ten Conference,Division I,NA,6.4166641,214,4.54,NA,39,121,4.25,6.9,NA
2003,2003,Brandon Lloyd,WR,University of Illinois at Urbana-Champaign,http://live.dbpedia.org/resource/University_of_Illinois_at_Urbana-Champaign,Big Ten Conference,Division I,NA,6.0833309,184,4.62,NA,36,NA,NA,NA,NA
2003,2003,Enoch DeMar,OG,Indiana University Bloomington,http://live.dbpedia.org/resource/Indiana_University_Bloomington,Big Ten Conference,Division I,NA,6.3333308,334,5.63,22,22.5,90,5.1,8.35,NA
2003,2003,Jeremi Johnson,FB,Indiana University Bloomington,http://live.dbpedia.org/resource/Indiana_University_Bloomington,Big Ten Conference,Division I,NA,5.9166643,260,4.9,20,29,103,NA,NA,NA
2003,2003,Gibran Hamdan,QB,Indiana University Bloomington,http://live.dbpedia.org/resource/Indiana_University_Bloomington,Big Ten Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
2003,2003,Derek Pagel,FS,University of Iowa,http://live.dbpedia.org/resource/University_of_Iowa,Big Ten Conference,Division I,NA,6.0833309,208,4.57,25,35.5,115,4.08,6.87,NA
2003,2003,Bruce Nelson,C,University of Iowa,http://live.dbpedia.org/resource/University_of_Iowa,Big Ten Conference,Division I,NA,6.4166641,301,5.26,21,NA,NA,NA,NA,NA
2003,2003,Brad Banks,QB,University of Iowa,http://live.dbpedia.org/resource/University_of_Iowa,Big Ten Conference,Division I,NA,5.9166643,201,4.67,NA,33.5,112,NA,NA,13
2003,2003,Eric Steinbach,OG,University of Iowa,http://live.dbpedia.org/resource/University_of_Iowa,Big Ten Conference,Division I,NA,6.4999974,297,4.96,NA,36,119,4.42,7.36,NA
2003,2003,Colin Cole,DT,University of Iowa,http://live.dbpedia.org/resource/University_of_Iowa,Big Ten Conference,Division I,NA,6.1666642,309,5.22,29,31,103,4.75,7.85,NA
2003,2003,Dallas Clark,TE,University of Iowa,http://live.dbpedia.org/resource/University_of_Iowa,Big Ten Conference,Division I,NA,6.3333308,257,4.65,NA,37.5,123,NA,NA,NA
2003,2003,David Porter,OT,University of Iowa,http://live.dbpedia.org/resource/University_of_Iowa,Big Ten Conference,Division I,NA,6.4999974,311,5.32,NA,26,85,4.98,8.43,NA
2003,2003,Ben Sobieski,OG,University of Iowa,http://live.dbpedia.org/resource/University_of_Iowa,Big Ten Conference,Division I,NA,6.4166641,307,5,18,30,109,4.49,7.7,NA
2003,2003,Justin Sands,OG,University of Kansas,http://live.dbpedia.org/resource/University_of_Kansas,Big 12 Conference,Division I,NA,6.5833307,324,5.05,31,32,105,NA,NA,NA
2003,2003,Charles Tillman,CB,University of Louisiana at Lafayette,http://live.dbpedia.org/resource/University_of_Louisiana_at_Lafayette,Sun Belt Conference,Division I,NA,6.0833309,207,4.49,12,40,131,3.89,7.05,NA
2003,2003,Curry Burns,SS,University of Louisville,http://live.dbpedia.org/resource/University_of_Louisville,Big East Conference,Division I,NA,6.0833309,216,4.56,19,36,120,4.16,7.04,NA
2003,2003,Anthony Floyd,FS,University of Louisville,http://live.dbpedia.org/resource/University_of_Louisville,Big East Conference,Division I,NA,5.833331,202,4.6,19,33.5,117,4.2,7.09,NA
2003,2003,Dave Ragone,QB,University of Louisville,http://live.dbpedia.org/resource/University_of_Louisville,Big East Conference,Division I,NA,6.3333308,249,4.99,NA,30.5,101,4.36,7.42,31
2003,2003,DeWayne White,DE,University of Louisville,http://live.dbpedia.org/resource/University_of_Louisville,Big East Conference,Division I,NA,6.1666642,273,4.76,22,33,112,4.32,7.22,NA
2003,2003,E.J. Henderson,ILB,"University of Maryland, College Park","http://live.dbpedia.org/resource/University_of_Maryland,_College_Park",Atlantic Coast Conference,Division I,NA,6.0833309,245,4.8,20,NA,NA,NA,NA,NA
2003,2003,Wade Smith,OT,University of Memphis,http://live.dbpedia.org/resource/University_of_Memphis,Conference USA,Division I,NA,6.3333308,296,5.14,24,32.5,114,4.75,7.62,NA
2003,2003,Brett Romberg,C,University of Miami,http://live.dbpedia.org/resource/University_of_Miami,Atlantic Coast Conference,Division I,NA,6.1666642,295,5.2,27,27.5,99,4.65,8.16,NA
2003,2003,Matt Walters,DE,University of Miami,http://live.dbpedia.org/resource/University_of_Miami,Atlantic Coast Conference,Division I,NA,6.4166641,272,4.9,30,NA,NA,NA,NA,NA
2003,2003,William Joseph,DT,University of Miami,http://live.dbpedia.org/resource/University_of_Miami,Atlantic Coast Conference,Division I,NA,6.4166641,308,4.95,29,NA,NA,NA,NA,NA
2003,2003,Ken Dorsey,QB,University of Miami,http://live.dbpedia.org/resource/University_of_Miami,Atlantic Coast Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
2003,2003,Jamaal Green,DE,University of Miami,http://live.dbpedia.org/resource/University_of_Miami,Atlantic Coast Conference,Division I,NA,6.1666642,272,4.78,27,35.5,119,NA,NA,NA
2003,2003,Andrew Williams,DE,University of Miami,http://live.dbpedia.org/resource/University_of_Miami,Atlantic Coast Conference,Division I,NA,6.1666642,263,4.7,29,32,113,4.47,7.53,NA
2003,2003,Jerome McDougle,DE,University of Miami,http://live.dbpedia.org/resource/University_of_Miami,Atlantic Coast Conference,Division I,NA,6.1666642,264,4.67,NA,34,117,4.58,7.28,NA
2003,2003,Andre Johnson,WR,University of Miami,http://live.dbpedia.org/resource/University_of_Miami,Atlantic Coast Conference,Division I,NA,6.1666642,230,4.4,NA,39,132,NA,NA,NA
2003,2003,Charles Drake,FS,University of Michigan,http://live.dbpedia.org/resource/University_of_Michigan,Big Ten Conference,Division I,NA,6.0833309,205,4.52,20,NA,NA,NA,NA,NA
2003,2003,Cato June,SS,University of Michigan,http://live.dbpedia.org/resource/University_of_Michigan,Big Ten Conference,Division I,NA,6.0833309,218,4.61,NA,35,113,NA,NA,NA
2003,2003,Bennie Joppru,TE,University of Michigan,http://live.dbpedia.org/resource/University_of_Michigan,Big Ten Conference,Division I,NA,6.3333308,272,4.78,19,30.5,109,NA,NA,NA
2003,2003,Victor Hobson,ILB,University of Michigan,http://live.dbpedia.org/resource/University_of_Michigan,Big Ten Conference,Division I,NA,6.0833309,252,4.86,29,33,117,4.33,7.26,NA
2003,2003,Ronald Bellamy,WR,University of Michigan,http://live.dbpedia.org/resource/University_of_Michigan,Big Ten Conference,Division I,NA,6.0833309,208,4.57,NA,30.5,119,4.1,7.38,NA
2003,2003,Mike Lehan,CB,University of Minnesota,http://live.dbpedia.org/resource/University_of_Minnesota,Big Ten Conference,Division I,NA,6.0833309,196,4.45,13,34.5,119,4.15,6.95,NA
2003,2003,Doug Zeigler,TE,University of Mississippi,http://live.dbpedia.org/resource/University_of_Mississippi,Southeastern Conference,Division I,NA,6.3333308,257,4.7,20,NA,NA,NA,NA,NA
2003,2003,Ben Claxton,C,University of Mississippi,http://live.dbpedia.org/resource/University_of_Mississippi,Southeastern Conference,Division I,NA,6.2499975,301,5.16,NA,27,102,4.69,7.81,NA
2003,2003,Kirk Farmer,QB,University of Missouri,http://live.dbpedia.org/resource/University_of_Missouri,Southeastern Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
2003,2003,Dahrran Diedrick,RB,University of Nebraska at Lincoln,http://live.dbpedia.org/resource/University_of_Nebraska%E2%80%93Lincoln,Big Ten Conference,Division I,NA,6.0833309,228,4.62,19,37,117,4.44,7.32,NA
2003,2003,DeJuan Groce,CB,University of Nebraska at Lincoln,http://live.dbpedia.org/resource/University_of_Nebraska%E2%80%93Lincoln,Big Ten Conference,Division I,NA,5.833331,192,4.49,18,36,118,4,6.82,NA
2003,2003,Scott Shanle,OLB,University of Nebraska at Lincoln,http://live.dbpedia.org/resource/University_of_Nebraska%E2%80%93Lincoln,Big Ten Conference,Division I,NA,6.1666642,245,4.72,20,31,111,4.32,7.27,NA
2003,2003,Chris Kelsay,DE,University of Nebraska at Lincoln,http://live.dbpedia.org/resource/University_of_Nebraska%E2%80%93Lincoln,Big Ten Conference,Division I,NA,6.4166641,273,4.75,23,36.5,121,NA,NA,NA
2003,2003,Lucas Brigman,C,University of Nebraska at Omaha,http://live.dbpedia.org/resource/University_of_Nebraska_at_Omaha,The Summit League,Division I,NA,6.0833309,308,5.3,26,27,101,4.67,7.99,NA
2003,2003,Erick Streelman,TE,"University of Nevada, Reno","http://live.dbpedia.org/resource/University_of_Nevada,_Reno",Mountain West Conference,Division I,NA,6.4166641,248,5.06,9,30,109,4.4,7.59,NA
2003,2003,Nate Burleson,WR,"University of Nevada, Reno","http://live.dbpedia.org/resource/University_of_Nevada,_Reno",Mountain West Conference,Division I,NA,6.0833309,197,4.51,NA,42.5,126,4.16,6.96,NA
2003,2003,Zach Hilton,TE,University of North Carolina at Chapel Hill,http://live.dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill,Atlantic Coast Conference,Division I,NA,6.666664,267,4.83,24,35,112,4.33,7.26,NA
2003,2003,Sam Aiken,WR,University of North Carolina at Chapel Hill,http://live.dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill,Atlantic Coast Conference,Division I,NA,6.1666642,209,4.59,NA,39.5,121,NA,7.22,NA
2003,2003,Andre Woolfolk,CB,University of Oklahoma,http://live.dbpedia.org/resource/University_of_Oklahoma,Big 12 Conference,Division I,NA,6.1666642,197,4.47,10,35.5,128,3.96,6.78,NA
2003,2003,Quentin Griffin,RB,University of Oklahoma,http://live.dbpedia.org/resource/University_of_Oklahoma,Big 12 Conference,Division I,NA,5.5833311,195,4.48,21,38,123,4.08,NA,NA
2003,2003,Trent Smith,TE,University of Oklahoma,http://live.dbpedia.org/resource/University_of_Oklahoma,Big 12 Conference,Division I,NA,6.4166641,243,4.79,16,35.5,118,4.37,7.23,NA
2003,2003,Jimmy Wilkerson,DE,University of Oklahoma,http://live.dbpedia.org/resource/University_of_Oklahoma,Big 12 Conference,Division I,NA,6.2499975,271,4.91,29,34.5,114,4.4,7.45,NA
2003,2003,George Wrighster,TE,University of Oregon,http://live.dbpedia.org/resource/University_of_Oregon,Pacific-12 Conference,Division I,NA,6.1666642,249,4.89,16,34.5,115,NA,7.24,NA
2003,2003,Keenan Howry,WR,University of Oregon,http://live.dbpedia.org/resource/University_of_Oregon,Pacific-12 Conference,Division I,NA,5.833331,178,4.56,NA,31.5,114,4.28,7.34,NA
2003,2003,Onterrio Smith,RB,University of Oregon,http://live.dbpedia.org/resource/University_of_Oregon,Pacific-12 Conference,Division I,NA,5.833331,220,4.48,19,NA,NA,NA,NA,NA
2003,2003,Torrie Cox,CB,University of Pittsburgh,http://live.dbpedia.org/resource/University_of_Pittsburgh,Big East Conference,Division I,NA,5.7499977,181,4.55,NA,32,119,4.2,6.98,NA
2003,2003,Gerald Hayes,ILB,University of Pittsburgh,http://live.dbpedia.org/resource/University_of_Pittsburgh,Big East Conference,Division I,NA,6.0833309,238,4.75,NA,30.5,107,4.35,7.57,NA
2003,2003,Derrick Watson,RB,University of South Carolina,http://live.dbpedia.org/resource/University_of_South_Carolina,Southeastern Conference,Division I,NA,6.0833309,212,4.63,15,34,114,4.2,7.35,NA
2003,2003,Watts Sanderson,OT,University of South Carolina,http://live.dbpedia.org/resource/University_of_South_Carolina,Southeastern Conference,Division I,NA,6.4166641,303,5.37,24,28.5,100,4.94,8.48,NA
2003,2003,Langston Moore,DT,University of South Carolina,http://live.dbpedia.org/resource/University_of_South_Carolina,Southeastern Conference,Division I,NA,6.0833309,303,5.04,29,32,104,4.29,7.64,NA
2003,2003,Andrew Pinnock,FB,University of South Carolina,http://live.dbpedia.org/resource/University_of_South_Carolina,Southeastern Conference,Division I,NA,5.833331,265,4.62,22,NA,NA,NA,NA,NA
2003,2003,Derek Watson,RB,University of South Carolina,http://live.dbpedia.org/resource/University_of_South_Carolina,Southeastern Conference,Division I,NA,6.0833309,212,4.63,15,34,114,4.2,7.35,NA
2003,2003,Kawika Mitchell,ILB,University of South Florida,http://live.dbpedia.org/resource/University_of_South_Florida,Big East Conference,Division I,NA,6.0833309,253,4.69,25,37,117,4.24,7.32,NA
2003,2003,Shurron Pierson,DE,University of South Florida,http://live.dbpedia.org/resource/University_of_South_Florida,Big East Conference,Division I,NA,6.1666642,243,4.63,NA,39,128,NA,NA,NA
2003,2003,Carson Palmer,QB,University of Southern California,http://live.dbpedia.org/resource/University_of_Southern_California,Pacific-12 Conference,Division I,NA,6.4166641,232,4.65,NA,NA,NA,NA,NA,26
2003,2003,Sultan McCullough,RB,University of Southern California,http://live.dbpedia.org/resource/University_of_Southern_California,Pacific-12 Conference,Division I,NA,6.0833309,202,4.49,27,NA,NA,NA,NA,NA
2003,2003,Justin Fargas,RB,University of Southern California,http://live.dbpedia.org/resource/University_of_Southern_California,Pacific-12 Conference,Division I,NA,6.0833309,219,4.35,27,NA,137,NA,NA,NA
2003,2003,Kareem Kelly,WR,University of Southern California,http://live.dbpedia.org/resource/University_of_Southern_California,Pacific-12 Conference,Division I,NA,6.0833309,186,4.42,NA,35,125,4.24,7.51,NA
2003,2003,Demetrin Veal,DE,University of Tennessee,http://live.dbpedia.org/resource/University_of_Tennessee,Southeastern Conference,Division I,NA,6.1666642,288,5.24,26,NA,111,NA,NA,NA
2003,2003,Will Ofenheusle,OT,University of Tennessee,http://live.dbpedia.org/resource/University_of_Tennessee,Southeastern Conference,Division I,NA,6.5833307,308,5.35,23,26.5,94,5.03,8.65,NA
2003,2003,Omari Hand,DE,University of Tennessee,http://live.dbpedia.org/resource/University_of_Tennessee,Southeastern Conference,Division I,NA,6.3333308,267,4.85,34,NA,NA,NA,NA,NA
2003,2003,Aubrayo Franklin,DT,University of Tennessee,http://live.dbpedia.org/resource/University_of_Tennessee,Southeastern Conference,Division I,NA,6.1666642,307,5.2,NA,27,100,4.79,NA,NA
2003,2003,Jason Witten,TE,University of Tennessee,http://live.dbpedia.org/resource/University_of_Tennessee,Southeastern Conference,Division I,NA,6.4999974,264,4.65,25,31,NA,NA,NA,NA
