CombineYear,DraftYear,Player,Position,DBPediaCollege_Name,DBPediaURI_College,Conference,Division,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic
1995,1995,Steve Spence From,QB,Stanford University,http://live.dbpedia.org/resource/Stanford_University,Pacific-12 Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
1995,1995,Kordell Stewart,QB,University of Colorado at Boulder,http://live.dbpedia.org/resource/University_of_Colorado,Pacific-12 Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
1998,1998,Matt Hasselbeck,QB,Boston College University,http://live.dbpedia.org/resource/Boston_College_University,Atlantic Coast Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
1998,1998,Charlie Batch,QB,Eastern Michigan University,http://live.dbpedia.org/resource/Eastern_Michigan_University,Mid-American Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
1998,1998,Brian Griese,QB,University of Michigan,http://live.dbpedia.org/resource/University_of_Michigan,Big Ten Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
1998,1998,Scott Frost,QB,University of Nebraska at Lincoln,http://live.dbpedia.org/resource/University_of_Nebraska%E2%80%93Lincoln,Big Ten Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
1998,1998,John Dutton,QB,"University of Nevada, Reno","http://live.dbpedia.org/resource/University_of_Nevada,_Reno",Mountain West Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
1998,1998,Peyton Manning,QB,University of Tennessee,http://live.dbpedia.org/resource/University_of_Tennessee,Southeastern Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
1998,1998,Ryan Leaf,QB,Washington State University,http://live.dbpedia.org/resource/Washington_State_University,Pacific-12 Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
1999,1999,Bryce Fisher,DE,Air Force Academy,http://live.dbpedia.org/resource/Air_Force_Academy_(United_States),Mountain West Conference,Division I,NA,6.3333308,283,5,19,31,106,4.34,7.64,NA
1999,1999,Fernando Bryant,CB,University of Alabama,http://live.dbpedia.org/resource/Alabama_University,Southeastern Conference,Division I,NA,5.833331,183,4.5,NA,35.5,115,4.06,7.03,NA
1999,1999,Michael Vaughn,WR,University of Alabama,http://live.dbpedia.org/resource/Alabama_University,Southeastern Conference,Division I,NA,6.1666642,212,4.57,NA,33.5,113,4.32,7.32,NA
1999,1999,Quincy Jackson,WR,University of Alabama,http://live.dbpedia.org/resource/Alabama_University,Southeastern Conference,Division I,NA,6.0833309,187,4.68,NA,31,116,4.29,7.27,NA
1999,1999,Chris Hood,DT,University of Alabama,http://live.dbpedia.org/resource/Alabama_University,Southeastern Conference,Division I,NA,6.0833309,281,5.16,17,26,100,4.8,8.1,NA
1999,1999,Andre Slappey,DT,Albany State University,http://live.dbpedia.org/resource/Albany_State_University,Southern Intercollegiate Athletic Conference,Division II,NA,6.4166641,302,5.75,19,25.5,97,4.94,8.72,NA
1999,1999,Grey Ruegamer,C,Arizona State University,http://live.dbpedia.org/resource/Arizona_State_University,Pacific-12 Conference,Division I,NA,6.4166641,315,5.34,18,27.5,94,4.68,7.81,NA
1999,1999,Jeff Paulk,FB,Arizona State University,http://live.dbpedia.org/resource/Arizona_State_University,Pacific-12 Conference,Division I,NA,6.0833309,242,4.69,27,35.5,116,4.44,7.81,NA
1999,1999,Creig Spann,WR,Arizona State University,http://live.dbpedia.org/resource/Arizona_State_University,Pacific-12 Conference,Division I,NA,6.0833309,191,4.5,NA,36.5,117,3.86,7.1,NA
1999,1999,Kenny Mitchell,WR,Arizona State University,http://live.dbpedia.org/resource/Arizona_State_University,Pacific-12 Conference,Division I,NA,6.2499975,217,4.74,NA,37,118,NA,7.1,NA
1999,1999,Lenzie Jackson,WR,Arizona State University,http://live.dbpedia.org/resource/Arizona_State_University,Pacific-12 Conference,Division I,NA,6.0833309,188,4.84,NA,35,115,4.29,7.32,NA
1999,1999,Albrey Battle,DT,Arizona State University,http://live.dbpedia.org/resource/Arizona_State_University,Pacific-12 Conference,Division I,NA,6.2499975,294,5.38,23,29,101,4.66,8.15,NA
