player,season,season_name,salary,agency,agent,salary_amnesty,league,team,player_off_roster_13_14,id_contract_type
Giannis Antetokounmpo,2017,2016-2017,2995421,Octagon Athlete Representation,Alex Saratsis,FALSE,nba,Bucks,FALSE,TO
Giannis Antetokounmpo,2018,2017-2018,4187598,Octagon Athlete Representation,Alex Saratsis,FALSE,nba,Bucks,FALSE,QO
John Henson,2014,2013-2014,1905360,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,G
John Henson,2015,2014-2015,1987320,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,TO
John Henson,2016,2015-2016,2943221,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,TO
John Henson,2017,2016-2017,4094020,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,QO
Khris Middleton,2014,2013-2014,788872,Excel Sports Management,Michael Lindeman,FALSE,nba,Bucks,FALSE,G
Khris Middleton,2015,2014-2015,915243,Excel Sports Management,Michael Lindeman,FALSE,nba,Bucks,FALSE,U
Khris Middleton,2016,2015-2016,1181348,Excel Sports Management,Michael Lindeman,FALSE,nba,Bucks,FALSE,QO
Larry Sanders,2014,2013-2014,3053368,Relativity Sports,Dan Fegan,FALSE,nba,Bucks,FALSE,G
Larry Sanders,2015,2014-2015,11000000,Relativity Sports,Dan Fegan,FALSE,nba,Bucks,FALSE,G
Larry Sanders,2016,2015-2016,11000000,Relativity Sports,Dan Fegan,FALSE,nba,Bucks,FALSE,G
Larry Sanders,2017,2016-2017,11000000,Relativity Sports,Dan Fegan,FALSE,nba,Bucks,FALSE,G
Larry Sanders,2018,2017-2018,11000000,Relativity Sports,Dan Fegan,FALSE,nba,Bucks,FALSE,G
Luke Ridnour,2014,2013-2014,4420000,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,G
Miroslav Raduljica,2014,2013-2014,1500000,Norton Sports Management,Matt Babcock,FALSE,nba,Bucks,FALSE,G
Miroslav Raduljica,2015,2014-2015,1500000,Norton Sports Management,Matt Babcock,FALSE,nba,Bucks,FALSE,G
Miroslav Raduljica,2016,2015-2016,1567500,Norton Sports Management,Matt Babcock,FALSE,nba,Bucks,FALSE,U
Miroslav Raduljica,2017,2016-2017,1959375,Norton Sports Management,Matt Babcock,FALSE,nba,Bucks,FALSE,QO
